STATE,DMEPOS RURAL ZIP CODE,YEAR/QTR
ME,04657,201504
ME,04658,201504
ME,04660,201504
ME,04662,201504
ME,04664,201504
ME,04666,201504
ME,04667,201504
ME,04668,201504
ME,04669,201504
ME,04671,201504
ME,04672,201504
ME,04673,201504
ME,04674,201504
ME,04675,201504
ME,04676,201504
ME,04677,201504
ME,04679,201504
ME,04680,201504
ME,04681,201504
ME,04683,201504
ME,04684,201504
ME,04685,201504
ME,04686,201504
ME,04691,201504
ME,04693,201504
ME,04694,201504
ME,04730,201504
ME,04732,201504
ME,04733,201504
ME,04734,201504
ME,04735,201504
ME,04736,201504
ME,04737,201504
ME,04738,201504
ME,04739,201504
ME,04740,201504
ME,04741,201504
ME,04742,201504
ME,04743,201504
ME,04744,201504
ME,04745,201504
ME,04746,201504
ME,04747,201504
ME,04750,201504
ME,04751,201504
ME,04756,201504
ME,04757,201504
ME,04758,201504
ME,04760,201504
ME,04761,201504
ME,04762,201504
ME,04763,201504
ME,04764,201504
ME,04766,201504
ME,04768,201504
ME,04769,201504
ME,04772,201504
ME,04773,201504
ME,04774,201504
ME,04775,201504
ME,04776,201504
ME,04779,201504
ME,04780,201504
ME,04781,201504
ME,04783,201504
ME,04785,201504
ME,04786,201504
ME,04787,201504
ME,04841,201504
ME,04843,201504
ME,04847,201504
ME,04848,201504
ME,04849,201504
ME,04850,201504
ME,04851,201504
ME,04852,201504
ME,04853,201504
ME,04854,201504
ME,04855,201504
ME,04856,201504
ME,04858,201504
ME,04859,201504
ME,04860,201504
ME,04861,201504
ME,04862,201504
ME,04863,201504
ME,04864,201504
ME,04865,201504
ME,04901,201504
ME,04903,201504
ME,04910,201504
ME,04911,201504
ME,04912,201504
ME,04915,201504
ME,04917,201504
ME,04918,201504
ME,04920,201504
ME,04921,201504
ME,04922,201504
ME,04923,201504
ME,04924,201504
ME,04925,201504
ME,04926,201504
ME,04927,201504
ME,04929,201504
ME,04935,201504
ME,04936,201504
ME,04937,201504
ME,04938,201504
ME,04940,201504
ME,04941,201504
ME,04942,201504
ME,04943,201504
ME,04944,201504
ME,04945,201504
ME,04947,201504
ME,04949,201504
ME,04950,201504
ME,04951,201504
ME,04952,201504
ME,04954,201504
ME,04955,201504
ME,04956,201504
ME,04957,201504
ME,04958,201504
ME,04961,201504
ME,04962,201504
ME,04963,201504
ME,04964,201504
ME,04965,201504
ME,04966,201504
ME,04967,201504
ME,04970,201504
ME,04971,201504
ME,04972,201504
ME,04973,201504
ME,04974,201504
ME,04975,201504
ME,04976,201504
ME,04978,201504
ME,04979,201504
ME,04981,201504
ME,04982,201504
ME,04983,201504
ME,04984,201504
ME,04985,201504
ME,04986,201504
ME,04987,201504
ME,04988,201504
ME,04989,201504
ME,04992,201504
VT,05001,201504
VT,05009,201504
VT,05030,201504
VT,05031,201504
